programming language,job amount,average salary,location,manager,full stack,front end,back end,software developer/engineer,mobile developer,devops,game developer,QA engineer,data scientist,data analyst,machine learning engineer,AI engineer,programmer,other analyst,other developer,other engineer,others
Sage,5,3193881.4513005977,['Banten'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Lisp,1,2550847.4576271186,['Central Java'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lua,1,2550847.4576271186,['Central Java'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F#,1,2550847.4576271186,['Central Java'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bloom,3,3112134.04887096,['Central Java'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
score,4,2097275.7795171365,"['Bali', 'Jakarta']",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
HL7,4,3055351.5542120533,['Jakarta'],0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
VBA,9,2669043.566689615,"['West Java', 'Jakarta']",2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4
ActionScript,3,3112134.04887096,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Elixir,4,3212282.5826624166,['Jakarta'],0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPPER,1,3178571.571428572,['Jakarta'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boo,7,2400483.054421769,['Jakarta'],0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,1
Pan,2,2902285.785714286,['Jakarta'],0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l2,13,5554524.992813157,"['Central Java', 'Jakarta']",0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,1,5
Augment,2,1895989.2583732056,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FP,2,776315.7894736842,['Jakarta'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vale,2,776315.7894736842,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
candor,1,776315.7894736842,['West Java'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Stata,1,776315.7894736842,['Riau Islands'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arc,1,3015662.727272727,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DML,8,3062648.019556395,"['Yogyakarta', 'Jakarta']",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,1
IPL,1,3015662.727272727,['Riau Islands'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
XL,4,3732736.052989353,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Star,3,2975334.568968969,['Jakarta'],0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
fox,2,2840777.777777778,['Yogyakarta'],0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
LEAP,7,2382912.6984126987,['Jakarta'],0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3
Dockerfile,1,5592859.090909091,['Jakarta'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dc,1,5592859.090909091,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VBScript,2,3327448.015974184,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CORAL,1,3244448.151351352,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UniVerse,1,1520833.3333333333,['Jakarta'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C2,38,1560416.6666666665,"['South Kalimantan', 'Riau', 'West Java', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'South Sulawesi', 'Central Java', 'Banten', 'North Sumatra', 'South Sumatra']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
